job_id,title,required_years,target_objective,core_text,resp_text,exp_text,manual_importance,manual_difficulty,raw_importance,raw_difficulty,sim_core_debug,final_importance,final_difficulty
ML-001,Senior Machine Learning Engineer,5.0,Design and deploy scalable LLM inference pipelines,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.,Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers,Experience shipping AI products to production. Required Years: 5,10.0,9.0,0.6803925156593322,0.037584817409515386,0.5493574142456055,10.0,1.4
ML-001,Senior Machine Learning Engineer,5.0,Deep understanding of distributed training and FSDP (PyTorch),Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.,Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers,Experience shipping AI products to production. Required Years: 5,10.0,8.0,0.36325578689575194,0.03658388555049896,0.32017797231674194,5.3,1.4
ML-001,Senior Machine Learning Engineer,5.0,Ability to manage and debug model serving pods (Kubernetes),Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.,Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers,Experience shipping AI products to production. Required Years: 5,7.0,6.0,0.246426397562027,0.03424844145774841,0.18135233223438263,3.6,1.3
ML-001,Senior Machine Learning Engineer,5.0,Implement model quantization strategies,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.,Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers,Experience shipping AI products to production. Required Years: 5,9.0,9.0,0.46390625238418576,0.023184394836425783,0.29349982738494873,6.8,1.2
ML-001,Senior Machine Learning Engineer,5.0,Masters in Computer Science (or equivalent theoretical depth),Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.,Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers,Experience shipping AI products to production. Required Years: 5,8.0,5.0,0.2332958996295929,0.035122457146644595,0.2925756871700287,3.4,1.4
BE-002,Senior Backend Developer (Go/Rust),7.0,Migrate legacy monolith to Microservices architecture,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.,Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design,Fintech experience required. Required Years: 7,10.0,9.0,0.6336472153663635,0.07853823900222778,0.45715805888175964,10.0,1.8
BE-002,Senior Backend Developer (Go/Rust),7.0,Expertise in Rust memory management and zero-cost abstractions,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.,Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design,Fintech experience required. Required Years: 7,10.0,9.0,0.2652698963880539,0.020810052752494812,0.42936941981315613,4.2,1.2
BE-002,Senior Backend Developer (Go/Rust),7.0,Write comprehensive unit and integration tests,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.,Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design,Fintech experience required. Required Years: 7,9.0,3.0,0.14995309710502625,-0.0013977054506540299,0.07651347666978836,2.4,1.0
BE-002,Senior Backend Developer (Go/Rust),7.0,Cross-functional communication (Product Owners),Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.,Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design,Fintech experience required. Required Years: 7,8.0,5.0,0.24151176512241362,0.023247534036636354,0.2683899402618408,3.8,1.2
BE-002,Senior Backend Developer (Go/Rust),7.0,Experience with gRPC service contracts,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.,Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design,Fintech experience required. Required Years: 7,8.0,6.0,0.3134640336036682,0.0405413955450058,0.3244972825050354,4.9,1.4
OPS-003,DevOps & SRE Lead,6.0,Reduce MTTR (Mean Time To Recovery) by 50%,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.,Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules,SRE experience. Required Years: 6,10.0,8.0,0.27791939973831176,0.013942788541316987,0.20220321416854858,6.0,1.1
OPS-003,DevOps & SRE Lead,6.0,Manage Terraform state and modules for AWS,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.,Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules,SRE experience. Required Years: 6,10.0,5.0,0.4595140337944031,0.028842434287071228,0.287665456533432,10.0,1.3
OPS-003,DevOps & SRE Lead,6.0,Implement Chaos Engineering (Chaos Mesh/Gremlin),DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.,Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules,SRE experience. Required Years: 6,6.0,8.0,0.16472056605853141,0.010930071771144868,0.0011837357887998223,3.6,1.1
OPS-003,DevOps & SRE Lead,6.0,Manage on-call rotation schedules,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.,Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules,SRE experience. Required Years: 6,7.0,2.0,0.2246055543422699,-0.002519848942756653,0.12233398854732513,4.9,1.0
OPS-003,DevOps & SRE Lead,6.0,Adherence to Blameless Post-Mortem culture,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.,Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules,SRE experience. Required Years: 6,9.0,6.0,0.08360000476241111,0.031580081582069396,0.12359350919723511,1.8,1.3
